producto_id,nombre_producto,origen,categoria,ingrediente_clave,precio_usd,satisfaccion_1_5,mejora_acne_pct,mejora_manchas_pct,mejora_textura_pct,tolerancia_piel_sensible_pct,indice_calidad_precio_0_100,tamano_muestra_resenas
COR-001,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,16.36,4.55,36.3,36.5,67.2,79.7,95.4,1765
COR-002,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,14.28,4.68,39.0,28.4,52.2,77.7,85.6,1055
COR-003,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,20.49,4.17,36.0,15.2,66.9,81.8,76.6,2294
COR-004,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,25.91,4.72,13.7,41.2,59.8,71.0,84.4,114
COR-005,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,26.36,4.19,42.7,17.3,62.9,100.0,72.3,895
COR-006,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,21.31,4.74,47.0,11.6,57.6,82.3,89.4,958
COR-007,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,15.3,4.07,50.7,33.4,34.4,85.2,68.3,1575
COR-008,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,22.64,4.61,49.2,36.8,59.0,83.7,82.7,280
COR-009,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,11.71,3.55,51.2,28.2,47.9,93.8,71.7,1040
COR-010,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,12.54,4.45,41.9,29.2,56.7,89.4,75.9,472
COR-011,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,24.73,3.99,42.0,16.2,49.2,81.4,81.8,2358
COR-012,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,24.41,4.59,55.7,24.8,43.9,77.0,82.2,1131
COR-013,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,11.97,4.09,21.2,26.6,59.5,78.7,73.8,1386
COR-014,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,15.23,4.53,53.3,27.1,25.4,85.5,80.7,763
COR-015,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,16.97,3.97,31.8,33.0,37.4,75.4,64.1,1716
COR-016,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,17.76,3.89,38.7,54.6,50.1,85.0,59.5,1775
COR-017,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,13.67,5.0,52.8,27.9,45.1,89.3,96.0,2010
COR-018,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,23.53,4.29,44.1,35.4,52.3,70.0,77.5,2035
COR-019,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,11.6,4.3,33.6,36.5,39.8,87.4,85.3,720
COR-020,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,10.81,4.22,52.0,38.7,54.1,67.6,84.9,2271
COR-021,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,23.47,4.41,53.7,13.9,53.8,84.6,66.6,2335
COR-022,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,19.22,3.64,45.4,42.2,54.3,90.5,53.4,1036
COR-023,Etude House SoonJung Calming Serum,Coreano,serum,panthenol + centella,26.88,4.67,26.5,22.5,40.7,89.7,83.3,539
COR-024,Klairs Freshly Juiced Vitamin Drop,Coreano,serum,vitamina C estabilizada,17.92,4.77,65.3,31.5,57.4,67.0,89.8,1879
COR-025,COSRX Advanced Snail 96 Mucin Power Essence,Coreano,esencia,mucina de caracol,17.76,4.9,44.5,57.3,52.9,67.9,81.5,626
COR-026,Beauty of Joseon Glow Serum,Coreano,serum,propóleo + niacinamida,22.24,4.79,37.9,31.9,58.1,78.5,69.1,686
COR-027,Skin1004 Madagascar Centella Ampoule,Coreano,ampolla,centella asiática,9.28,3.88,19.8,25.5,60.6,84.1,74.3,1975
COR-028,Laneige Water Sleeping Mask,Coreano,mascarilla nocturna,hialuronato + polisacáridos,24.18,4.49,24.2,43.9,43.4,71.7,74.2,325
COR-029,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner,Coreano,tónico,complejo AHA/BHA/PHA,44.97,3.61,26.7,35.2,57.1,87.2,54.3,479
COR-030,Innisfree Green Tea Seed Serum,Coreano,serum,extracto de té verde,11.61,4.87,38.8,25.9,70.9,75.2,87.9,1228
